"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL583543";"";"None";"370.25";"1";"5.00";"G15";"Brc1cc2c(cc1[C@@H]1Nc3ccccc3[C@@H]3C=CC[C@@H]31)OCO2";"IC50";"'='";"185.0";"nM";"6.73";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1220639";"Antagonist activity at GPR30 in human SKBr3 cells assessed as inhibition of G1-mediated calcium mobilization";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SK-BR-3";"None";"";"";"";"CHEMBL5872";"G-protein coupled estrogen receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1212719";"1";"Scientific Literature";"Nat Chem Biol";"2009";"CHEMBL3308062";"";"";"";"185.0"
"CHEMBL5957467";"";"None";"511.59";"2";"6.42";"BDBM288614";"CCCn1cc(-c2ccc3c(c2)CC(C)N(CC(C)(C)F)C3c2c(F)cc(/C=C/C(=O)O)cc2F)cn1";"IC50";"'='";"1.52";"nM";"8.82";"";"550432";"UO_0000065";"17.24";"0.33";"2.40";"15.11";"0";"CHEMBL5731406";"Biological Assay: The compounds of the present invention have an inhibition effect on the binding of E (estrogen) to ER (estrogen receptor), thereby blocking the binding of a complex of E and ER to ERE (estrogen responsive element), and subsequently blocking the expression of downstream luciferase protein.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5872";"G-protein coupled estrogen receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5725744";"37";"BindingDB Patent Bioactivity Data";"";"2018";"None";"";"";"";"1.52"
"CHEMBL5905024";"";"None";"518.58";"2";"6.49";"BDBM288622";"CC1Cc2cc(NC(=O)OC(C)(C)C)ccc2C(c2c(F)cc(/C=C/C(=O)O)cc2F)N1CC(C)(C)F";"IC50";"'='";"84.1";"nM";"7.08";"";"550440";"UO_0000065";"13.64";"0.26";"0.59";"8.97";"0";"CHEMBL5731406";"Biological Assay: The compounds of the present invention have an inhibition effect on the binding of E (estrogen) to ER (estrogen receptor), thereby blocking the binding of a complex of E and ER to ERE (estrogen responsive element), and subsequently blocking the expression of downstream luciferase protein.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5872";"G-protein coupled estrogen receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5725744";"37";"BindingDB Patent Bioactivity Data";"";"2018";"None";"";"";"";"84.1"
"CHEMBL6005762";"";"None";"515.58";"1";"4.43";"BDBM288629";"CC1Cc2cc(N3CCN(C)C(=O)C3)ccc2C(c2c(F)cc(/C=C/C(=O)O)cc2F)N1CC(C)(C)F";"IC50";"'='";"14.2";"nM";"7.85";"";"550447";"UO_0000065";"15.22";"0.29";"3.42";"12.24";"0";"CHEMBL5731406";"Biological Assay: The compounds of the present invention have an inhibition effect on the binding of E (estrogen) to ER (estrogen receptor), thereby blocking the binding of a complex of E and ER to ERE (estrogen responsive element), and subsequently blocking the expression of downstream luciferase protein.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5872";"G-protein coupled estrogen receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5725744";"37";"BindingDB Patent Bioactivity Data";"";"2018";"None";"";"";"";"14.2"
"CHEMBL5999411";"";"None";"443.47";"1";"5.02";"BDBM288674";"CC1Cc2cc3[nH]ncc3cc2C(c2c(F)cc(/C=C/C(=O)O)cc2F)N1CC(C)(C)F";"IC50";"'='";"1.88";"nM";"8.73";"";"550492";"UO_0000065";"19.68";"0.37";"3.71";"12.61";"0";"CHEMBL5731406";"Biological Assay: The compounds of the present invention have an inhibition effect on the binding of E (estrogen) to ER (estrogen receptor), thereby blocking the binding of a complex of E and ER to ERE (estrogen responsive element), and subsequently blocking the expression of downstream luciferase protein.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5872";"G-protein coupled estrogen receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5725744";"37";"BindingDB Patent Bioactivity Data";"";"2018";"None";"";"";"";"1.88"
"CHEMBL6050959";"";"None";"500.59";"2";"6.58";"BDBM288609";"Cc1ncc(-c2ccc3c(c2)C[C@H](C)N(CC(C)(C)F)[C@H]3c2c(F)cc(/C=C/C(=O)O)cc2F)s1";"IC50";"'='";"56.5";"nM";"7.25";"";"550427";"UO_0000065";"14.48";"0.28";"0.67";"13.57";"0";"CHEMBL5731406";"Biological Assay: The compounds of the present invention have an inhibition effect on the binding of E (estrogen) to ER (estrogen receptor), thereby blocking the binding of a complex of E and ER to ERE (estrogen responsive element), and subsequently blocking the expression of downstream luciferase protein.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5872";"G-protein coupled estrogen receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5725744";"37";"BindingDB Patent Bioactivity Data";"";"2018";"None";"";"";"";"56.5"
"CHEMBL583543";"";"None";"370.25";"1";"5.00";"G15";"Brc1cc2c(cc1[C@@H]1Nc3ccccc3[C@@H]3C=CC[C@@H]31)OCO2";"IC50";"'='";"190.0";"nM";"6.72";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4106382";"Antagonist activity at GPR30 in human SKBr3 cells assessed as inhibition of E2-mediated calcium mobilization";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SK-BR-3";"None";"";"";"";"CHEMBL5872";"G-protein coupled estrogen receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1212719";"1";"Scientific Literature";"Nat Chem Biol";"2009";"CHEMBL3308062";"";"";"";"190.0"
"CHEMBL5766406";"";"None";"447.45";"0";"4.88";"BDBM288436";"CC1Cc2cc3c(cc2C(c2c(F)cc(/C=C/C(=O)O)cc2F)N1CC(C)(C)F)OCO3";"IC50";"'='";"0.77";"nM";"9.11";"";"550417";"UO_0000065";"20.37";"0.39";"4.23";"15.45";"0";"CHEMBL5731406";"Biological Assay: The compounds of the present invention have an inhibition effect on the binding of E (estrogen) to ER (estrogen receptor), thereby blocking the binding of a complex of E and ER to ERE (estrogen responsive element), and subsequently blocking the expression of downstream luciferase protein.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5872";"G-protein coupled estrogen receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5725744";"37";"BindingDB Patent Bioactivity Data";"";"2018";"None";"";"";"";"0.77"
"CHEMBL5851265";"";"None";"564.65";"2";"6.65";"BDBM288646";"CC1Cc2cc(-c3ccc(N4CCOCC4)cc3)ccc2C(c2c(F)cc(/C=C/C(=O)O)cc2F)N1CC(C)(C)F";"IC50";"'='";"7.12";"nM";"8.15";"";"550464";"UO_0000065";"14.43";"0.27";"1.50";"15.37";"0";"CHEMBL5731406";"Biological Assay: The compounds of the present invention have an inhibition effect on the binding of E (estrogen) to ER (estrogen receptor), thereby blocking the binding of a complex of E and ER to ERE (estrogen responsive element), and subsequently blocking the expression of downstream luciferase protein.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5872";"G-protein coupled estrogen receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5725744";"37";"BindingDB Patent Bioactivity Data";"";"2018";"None";"";"";"";"7.12"
"CHEMBL5809580";"";"None";"421.49";"1";"5.84";"BDBM349621";"Cc1cc(F)cc(C)c1C(=O)c1sc2cc(O)ccc2c1Oc1ccc(CN)cc1";"IC50";"'<'";"1000.0";"nM";"";"";"691319";"UO_0000065";"";"";"";"";"0";"CHEMBL5732839";"Estrogen Receptor (ER) Degradation Assay: A screening strategy was implemented utilizing an In-Cell Western assay to measure their ability to degrade the estrogen receptor in vitro. MCF7 cells, which are estrogen receptor positive, were plated at a cell density of 3.5E-05 cells/mL into black walled clear bottom 96-well plates. Cells were incubated in phenol red free Dulbecco's Modified Eagle Media (DMEM) supplemented with 8% charcoal-stripped fetal bovine calf serum for 24 hours in a humidified 37° C. incubator. Concentrated stock compounds were diluted to 10× in complete media. Compounds were added to the plated cells in a dose-dependent manner ranging from 1E-12 to 1E-05 M and incubated for an additional 24 hours at 37° C. Culture medium was removed from the culture plates by gentle inversion. Cells were fixed in 4% paraformaldehyde in 1× phosphate buffered saline-calcium magnesium free (PBS-CMF) for 15 minutes at room temperature, washed 3 times for 5 minutes each in 1×PBS-CMF. Cells were permeabilized in immunofluorescence (IF) blocking buffer (Cell Signaling #12411) containing 0.3% Triton X100. Cells were washed 3 times for 5 minutes each in 1×PBS-CMF and incubated in estrogen receptor α (D6R2W) rabbit primary antibody (Cell Signaling #13258) diluted 1:300 in IF antibody dilution buffer (Cell Signaling #12378). Cells were washed 3 times for 5 minutes each in 1×PBS-CMF and stained with goat anti-rabbit (Biotium #CF770) secondary antibody diluted 1:2000 in IF antibody dilution buffer and normalizing stain CellTag 700 diluted 1:500 (Licor #926-41090). ER protein expression was assessed by the Licor Odyssey CLx imaging system using Image Studio v5.2. Data is processed utilizing GraphPad Prism 7 by subtracting background from the vehicle and setting the vehicle to 100% ER activity, followed by comparing treated samples to vehicle.";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5872";"G-protein coupled estrogen receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5726517";"37";"BindingDB Patent Bioactivity Data";"";"2019";"None";"";"";"";"1000.0"
