"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL704";"MESALAMINE";"4.0";"153.14";"0";"0.67";"3";"Nc1ccc(O)c(C(=O)O)c1";"IC50";"'='";"2.7";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL1012121";"Inhibition of mouse EGFR by liquid scintillation counting";"B";"BAO_0000357";"single protein format";"Mus musculus";"None";"None";"None";"None";"";"";"";"CHEMBL3608";"Epidermal growth factor receptor";"Mus musculus";"SINGLE PROTEIN";"CHEMBL1147320";"1";"Scientific Literature";"J Nat Prod";"1989";"None";"";"";"";"2.7"
"CHEMBL483830";"";"None";"397.38";"1";"3.12";"Table 4, R1C1";"O=C(O)c1cc(N(Cc2cc(O)ccc2O)Cc2cc(O)ccc2O)ccc1O";"IC50";"'='";"0.011";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL1012121";"Inhibition of mouse EGFR by liquid scintillation counting";"B";"BAO_0000357";"single protein format";"Mus musculus";"None";"None";"None";"None";"";"";"";"CHEMBL3608";"Epidermal growth factor receptor";"Mus musculus";"SINGLE PROTEIN";"CHEMBL1147320";"1";"Scientific Literature";"J Nat Prod";"1989";"None";"";"";"";"0.011"
"CHEMBL47986";"ERBSTATIN";"None";"179.18";"0";"0.81";"erbstatin";"O=CN/C=C/c1cc(O)ccc1O";"IC50";"'='";"0.2";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL1012121";"Inhibition of mouse EGFR by liquid scintillation counting";"B";"BAO_0000357";"single protein format";"Mus musculus";"None";"None";"None";"None";"";"";"";"CHEMBL3608";"Epidermal growth factor receptor";"Mus musculus";"SINGLE PROTEIN";"CHEMBL1147320";"1";"Scientific Literature";"J Nat Prod";"1989";"None";"";"";"";"0.2"
"CHEMBL137924";"";"None";"378.43";"0";"3.39";"13a";"O=C(NCCc1ccccc1)c1cc(NCc2cc(O)ccc2O)ccc1O";"IC50";"'='";"10000.0";"nM";"5.00";"";"";"UO_0000065";"13.21";"0.24";"1.61";"4.91";"0";"CHEMBL675519";"Inhibition of epidermal growth factor receptor phosphorylation in BaF3 mouse lymphoid cells.";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"BaF3";"None";"";"";"";"CHEMBL3608";"Epidermal growth factor receptor";"Mus musculus";"SINGLE PROTEIN";"CHEMBL1134836";"1";"Scientific Literature";"J Med Chem";"2001";"CHEMBL3307634";"";"";"";"10.0"
"CHEMBL388978";"STAUROSPORINE";"None";"466.54";"0";"4.35";"staurosporine";"CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4";"IC50";"'='";"0.35";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL1012121";"Inhibition of mouse EGFR by liquid scintillation counting";"B";"BAO_0000357";"single protein format";"Mus musculus";"None";"None";"None";"None";"";"";"";"CHEMBL3608";"Epidermal growth factor receptor";"Mus musculus";"SINGLE PROTEIN";"CHEMBL1147320";"1";"Scientific Literature";"J Nat Prod";"1989";"None";"";"";"";"0.35"
"CHEMBL4562138";"";"None";"430.51";"0";"4.03";"9";"Cc1cc2cc(n1)-c1cnn(C)c1OCCC[C@@H](C)CN1/C(=N/C2=O)Nc2ccccc21";"IC50";"'='";"1100.0";"nM";"5.96";"";"";"UO_0000065";"13.84";"0.25";"1.93";"7.04";"0";"CHEMBL4324124";"Inhibition of wild type EGFR in mouse BAF3 cells assessed as reduction in cell proliferation incubated for 72 hrs by Celltiter-Glo luminescent cell viability assay";"B";"BAO_0000219";"cell-based format";"Mus musculus";"None";"None";"BaF3";"None";"";"";"";"CHEMBL3608";"Epidermal growth factor receptor";"Mus musculus";"SINGLE PROTEIN";"CHEMBL4321840";"1";"Scientific Literature";"J Med Chem";"2019";"CHEMBL3307634";"";"";"";"1100.0"
"CHEMBL5411911";"";"None";"232.33";"0";"3.12";"7";"CN(C(=O)N(C)C1CCCC1)c1ccccc1";"IC50";"'='";"125892.54";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5327905";"Displacement of probe N-(4-(4-(3-((4-((3-chloro-4-fluorophenyl)amino)-7-methoxyquinazolin-6-yl)oxy)propyl)piperazin-1-yl)-4-oxobutyl)-3-(5,5-difluoro-7,9-dimethyl-5H-5l4,6l4-dipyrrolo[1,2-c:2',1'-f][1,3,2]diazaborinin-3-yl)propenamide from C-terminal His-tagged wild type mouse EGFR incubated for 30 mins by probe displacement based TR-FRET assay";"B";"BAO_0000357";"single protein format";"Mus musculus";"None";"None";"None";"None";"";"";"";"CHEMBL3608";"Epidermal growth factor receptor";"Mus musculus";"SINGLE PROTEIN";"CHEMBL5325473";"1";"Scientific Literature";"Bioorg Med Chem";"2023";"None";"TIME = 0.5 hr";"BINDING AGENT";"";"3.9"
"CHEMBL2110732";"DACOMITINIB ANHYDROUS";"4.0";"469.95";"1";"5.16";"2";"COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCCCC1";"IC50";"'='";"19.95";"nM";"7.70";"";"";"UO_0000065";"16.38";"0.32";"2.54";"9.70";"0";"CHEMBL5325032";"Inhibition of C-terminal his6-tagged mouse EGFR by TR-FRET assay";"B";"BAO_0000357";"single protein format";"Mus musculus";"None";"None";"None";"None";"";"";"";"CHEMBL3608";"Epidermal growth factor receptor";"Mus musculus";"SINGLE PROTEIN";"CHEMBL5321292";"1";"Scientific Literature";"J Med Chem";"2023";"None";"";"INHIBITOR";"";"7.7"
"CHEMBL483831";"";"None";"381.38";"0";"3.41";"Table 4, R2C1";"O=C(O)c1ccc(O)c(N(Cc2ccccc2O)Cc2cc(O)ccc2O)c1";"IC50";"'='";"0.17";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL1012121";"Inhibition of mouse EGFR by liquid scintillation counting";"B";"BAO_0000357";"single protein format";"Mus musculus";"None";"None";"None";"None";"";"";"";"CHEMBL3608";"Epidermal growth factor receptor";"Mus musculus";"SINGLE PROTEIN";"CHEMBL1147320";"1";"Scientific Literature";"J Nat Prod";"1989";"None";"";"";"";"0.17"
"CHEMBL4525935";"";"None";"390.45";"0";"2.28";"4";"Cn1cc(-c2cc(C(=O)/N=c3\[nH]c4ccccc4n3CC(C)(C)O)ccn2)cn1";"IC50";"'='";"5100.0";"nM";"5.29";"";"";"UO_0000065";"13.55";"0.25";"3.01";"5.24";"0";"CHEMBL4324124";"Inhibition of wild type EGFR in mouse BAF3 cells assessed as reduction in cell proliferation incubated for 72 hrs by Celltiter-Glo luminescent cell viability assay";"B";"BAO_0000219";"cell-based format";"Mus musculus";"None";"None";"BaF3";"None";"";"";"";"CHEMBL3608";"Epidermal growth factor receptor";"Mus musculus";"SINGLE PROTEIN";"CHEMBL4321840";"1";"Scientific Literature";"J Med Chem";"2019";"CHEMBL3307634";"";"";"";"5100.0"
